filename,file.corrupt,file.too.short,use.temperature,scale.x,scale.y,scale.z,offset.x,offset.y,offset.z,temperature.offset.x,temperature.offset.y,temperature.offset.z,cal.error.start,cal.error.end,n.10sec.windows,n.hours.considered,QCmessage,mean.temp,device.serial.number,NFilePagesSkipped,filehealth_totimp_min,filehealth_checksumfail_min,filehealth_niblockid_min,filehealth_fbias0510_min,filehealth_fbias1020_min,filehealth_fbias2030_min,filehealth_fbias30_min,filehealth_totimp_N,filehealth_checksumfail_N,filehealth_niblockid_N,filehealth_fbias0510_N,filehealth_fbias1020_N,filehealth_fbias2030_N,filehealth_fbias30_N
Lup018 back pre.cwa,FALSE,FALSE,TRUE,0.975967673237966,0.992400023056538,0.990402560132574,0.00433966585256183,0.00742743566957666,0.0340612157913713,-0.00033620071453781,0.000828327171205527,-0.00123423854832345,0.04434,0.00576,62459,230,"recalibration done, no problems detected",26.5629709812109,not extracted,0,0,0,2025.1652209719,,,,,0,0,106334,,,,
Lup019 back pre.cwa,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0.08273, ,63201,239,recalibration not done because not enough points on all sides of the sphere,29.2296555323591,not extracted,0, , , , , , , , , , , , , , 
Lup020 back pre.cwa,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0.02514, ,33823,145,recalibration not done because not enough points on all sides of the sphere,33.3906320137694,not extracted,0,0,0,428.684211909771,,,,,0,0,20325,,,,
Lup021 back pre.cwa,FALSE,FALSE,TRUE,1.00298820420999,0.971055077135228,1.02418388374413,0.00279290221196397,0.00456054174309861,-0.00787722701436008,0.000524859743525306,0.00113579553722909,-0.00218432964275202,0.02463,0.00704,38603,172.997222222222,"recalibration done, no problems detected",28.0248341336117,not extracted,0, , , , , , , , , , , , , , 
Lup022 back pre.cwa,FALSE,FALSE,TRUE,1.00072826263307,1.00138027928878,1.01354930736355,0.00871716923841312,0.0292261726871338,0.044458218558499,0.000205398930994961,0.000961270945508239,-0.00263695080831791,0.03942,0.00412,41935,169,"recalibration done, no problems detected",27.9754608811749,not extracted,0,0,0,340.609796615442,,,,,0,0,16132,,,,
Lup023 back pre .cwa,FALSE,FALSE,FALSE,1,1,1,0,0,0,0,0,0,0.05401, ,66895,239,recalibration not done because not enough points on all sides of the sphere,26.9102247390397,not extracted,0, , , , , , , , , , , , , , 
Lup024 back pre.cwa,FALSE,FALSE,TRUE,1.02407868915079,0.971962388491641,0.978624887749158,0.00155345290990165,-0.0131207727471597,0.0236420041829709,-0.00050530165232057,0.00327405018458278,0.000540769681003648,0.03767,0.00857,40659,171,"recalibration done, no problems detected",33.3994102091021,not extracted,0,0,0,0.998186345895131,,,,,0,0,52,,,,
Lup025 back pre.cwa,FALSE,FALSE,TRUE,1.02419876026182,0.994962187805152,1.01412411469293,0.0353184401052936,0.0324719323018918,0.114481648437133,0.00166274398593295,0.000886787935323783,-0.00335548132249498,0.08372,0.00382,43860,169,"recalibration done, no problems detected",27.0808945333333,not extracted,0,0,0,2726.08911529382,,,,,0,0,144240,,,,
Lup026 back pre.cwa,FALSE,FALSE,FALSE,0.969581329848099,0.990126722860639,0.921096136974679,0.00326309239950092,0.00660140638405966,-0.00217563039266431,0,0,0,0.04732,0.01073,74575,237.994444444444,"recalibration attempted with all available data, but possibly not good enough: Check calibration error variable to varify this",29.5885682389937,not extracted,0,0.0275943001111348,0,1619.69622571071,,,,,3126,0,87710,,,,
Lup027 back pre.cwa,FALSE,FALSE,TRUE,1.00302320943037,1.00800786722274,1.02146889342784,0.00984967676392286,0.0326788007066586,-0.000417400942134207,-0.00135013205614207,0.00279369588115108,-0.00172751699005442,0.0212,0.00554,49880,172.997222222222,"recalibration done, no problems detected",29.562362408377,not extracted,0, , , , , , , , , , , , , , 
Lup028 back pre.cwa,FALSE,FALSE,TRUE,0.988632300294659,1.00729103998476,1.00082805526251,0.000922605942594858,0.0298844819518557,0.0779744153713171,0.00246776283125036,0.0032563257620934,-0.000840617854652001,0.06863,0.00906,40888,168.994444444444,"recalibration done, no problems detected",26.5706072025052,not extracted,0,0,0,4385.2440974474,,,,,0,0,229884,,,,
Lup029 back pre.cwa,FALSE,FALSE,TRUE,0.981036021280103,1.03357257281357,1.02575484412529,0.00049162284172373,0.0419251675996267,0.0117036911884557,-0.000299940302695456,-0.00329948481719222,0.000340689692890804,0.01591,0.00273,54494,169.994444444444,"recalibration done, no problems detected",22.9782957202505,not extracted,0, , , , , , , , , , , , , , 
Lup030 back pre.cwa,FALSE,FALSE,FALSE,0.981276306704608,1.02911694775421,1.03709811456871,0.00916165312930236,-0.00186806958892595,0.0622706045817099,0,0,0,0.0731,0.00697,44570,170,"recalibration done, but temperature values not used",29.5803580375783,not extracted,0,0,0,0.365800178050995,,,,,0,0,20,,,,
Lup031 back pre.cwa,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0.03467, ,51635,169,recalibration not done because not enough points on all sides of the sphere,29.8798768545994,not extracted,0,0,0,0.267865709463755,,,,,0,0,15,,,,
Lup032 back pre.cwa,FALSE,FALSE,FALSE,0.990059854257084,0.974403642393989,1.02260570075632,-0.00303993441110362,0.0123096401251444,-0.00549509614318422,0,0,0,0.0209,0.00687,42980,173,"recalibration done, but temperature values not used",34.055025,not extracted,0, , , , , , , , , , , , , , 
Lup033 back pre.cwa,FALSE,FALSE,TRUE,0.974921608158686,1.01767028351568,0.997353272167863,0.00923398722781146,0.0202914056409505,0.0320433278951989,-0.00217686029253684,-0.00314921928968829,-0.00364805828338736,0.04193,0.00545,46340,170,"recalibration done, no problems detected",30.2517683798883,not extracted,0, , , , , , , , , , , , , , 
Lup034 back pre.cwa,FALSE,FALSE,TRUE,1.01579365590511,0.991676771257504,1.00190395294815,-0.00105056560834705,-0.00375120155727747,0.0147871987060916,-0.0001975317734755,-0.000467363746871643,-0.00248226374709359,0.01189,0.0044,14834,85,"recalibration attempted with all available data, but possibly not good enough: Check calibration error variable to varify this",34.0031255882353,not extracted,0, , , , , , , , , , , , , , 
Lup035 back pre.cwa,FALSE,FALSE,TRUE,0.985926114848561,1.00397120609698,1.03072499306231,0.0288832443424182,0.0276143236068993,0.048230154479432,-0.00476457638811866,-0.000230275126898389,0.00158196875668313,0.03907,0.00392,41772,170,"recalibration done, no problems detected",31.6757341336117,not extracted,0,0,0,0.115725509325663,,,,,0,0,6,,,,
Lup036 back pre.cwa,FALSE,FALSE,TRUE,0.992477367793608,1.01315594693111,0.975076464894698,0.00481988975103674,-0.006694842336368,0.0351762784700224,0.00168318912984803,0.000606587442955678,-0.000871681768808164,0.04496,0.00609,50262,171.997222222222,"recalibration done, no problems detected",31.7790224751067,not extracted,0, , , , , , , , , , , , , , 
Lup037 back pre.cwa,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0.03793, ,11814,48,recalibration not done because not enough points on all sides of the sphere,35.0896314136126,not extracted,0, , , , , , , , , , , , , , 
Lup038 back pre.cwa,FALSE,FALSE,TRUE,0.99425299168532,0.99563743226962,1.03386370867073,0.012412143247768,0.016729810110704,-0.00224021056292771,-0.000545622533478565,0.00238481615613339,0.00243978246380341,0.02443,0.00597,45501,169,"recalibration done, no problems detected",28.0455794191919,not extracted,0, , , , , , , , , , , , , , 
Lup039 back pre.cwa,FALSE,FALSE,FALSE,0.990579213139914,0.993920635441808,1.00898831948654,-0.00130365416548821,0.0243848531788722,0.0092978759031722,0,0,0,0.02766,0.00462,47355,168.991666666667,"recalibration done, but temperature values not used",26.1584796450939,not extracted,0,0,0,182.719961333275,,,,,0,0,8662,,,,
Lup040 back pre.cwa,FALSE,FALSE,TRUE,0.99479281924146,1.03000957479653,1.02546911674154,0.0158026543742511,0.0318792510173926,0.0268239292961916,-0.00171960468760115,0.000487409622141519,-0.000813046567682057,0.03335,0.00323,9851,49,"recalibration attempted with all available data, but possibly not good enough: Check calibration error variable to varify this",31.7901812182741,not extracted,0, , , , , , , , , , , , , , 
