filename,file.corrupt,file.too.short,use.temperature,scale.x,scale.y,scale.z,offset.x,offset.y,offset.z,temperature.offset.x,temperature.offset.y,temperature.offset.z,cal.error.start,cal.error.end,n.10sec.windows,n.hours.considered,QCmessage,mean.temp,device.serial.number,NFilePagesSkipped,filehealth_totimp_min,filehealth_checksumfail_min,filehealth_niblockid_min,filehealth_fbias0510_min,filehealth_fbias1020_min,filehealth_fbias2030_min,filehealth_fbias30_min,filehealth_totimp_N,filehealth_checksumfail_N,filehealth_niblockid_N,filehealth_fbias0510_N,filehealth_fbias1020_N,filehealth_fbias2030_N,filehealth_fbias30_N
Lup028 post 1.cwa,FALSE,FALSE,TRUE,1.00565231041412,1.00912409474596,1.02469841316168,0.00592360287579821,-0.00277419136976835,0.0576497225400087,0.000455403014435802,-0.000773450248636835,-0.00109995256975605,0.04239,0.00454,44586,171,"recalibration done, no problems detected",27.0715691022965,not extracted,0, , , , , , , , , , , , , , 
Lup030 back post.cwa,FALSE,FALSE,TRUE,0.96091700883791,1.01004347471709,1.00686600966307,-0.000215228774204786,0.00752070209822335,0.0229151333341779,0.000279565203735397,0.000288301734578069,-0.000947375884609646,0.02485,0.00384,42628,170,"recalibration done, no problems detected",28.0527683716075,not extracted,0,0,0,226.878742448489,,,,,0,0,11830,,,,
Lup031 back post.cwa,FALSE,FALSE,FALSE,0.997281213348336,1.02987737556829,1.0325851861706,0.000511818542289572,0.039200961117844,0.0362017988681697,0,0,0,0.02802,0.01206,68817,239,"recalibration attempted with all available data, but possibly not good enough: Check calibration error variable to varify this",25.9012373695198,not extracted,0,0,0,0.212246000766754,,,,,0,0,12,,,,
Lup033 back post.cwa,FALSE,FALSE,TRUE,1.00119728218168,1.03054961601135,1.00883478564419,0.0128566601166645,0.0376188269478373,0.00934897749153391,-0.000338367594899323,0.000762354567391666,-0.00233361571901164,0.02602,0.00654,44600,171.997222222222,"recalibration done, no problems detected",26.4098068893528,not extracted,0,0,0,0.0579660058021545,,,,,0,0,3,,,,
Lup034 back post.cwa,FALSE,FALSE,FALSE,0.97738894055433,1.01566364587901,1.03720147040787,0.0149522660751662,0.0538538010954213,0.0112542861373993,0,0,0,0.02865,0.00399,43916,168.997222222222,"recalibration done, but temperature values not used",27.0364894572025,not extracted,0, , , , , , , , , , , , , , 
Lup035 Back post.cwa,FALSE,FALSE,FALSE,0.993649079922965,1.01089231559709,1.02771239233452,0.00669619746846548,0.0361049816479617,-0.0188417963959982,0,0,0,0.02432,0.00357,46349,172,"recalibration done, but temperature values not used",26.9470486430063,not extracted,0, , , , , , , , , , , , , , 
Lup036 back post.cwa,FALSE,FALSE,TRUE,1.01481856048501,0.997446477583433,0.999029228651625,0.0390486253156851,-0.0178125573937542,0.0767538093037585,0.00368168863458004,0.000310576231607702,-0.00578930231157081,0.05341,0.0046,26563,107,"recalibration attempted with all available data, but possibly not good enough: Check calibration error variable to varify this",34.5915497663551,not extracted,0, , , , , , , , , , , , , , 
Lup037 back post.cwa,FALSE,FALSE,TRUE,0.991432601004051,1.00149160913328,1.02252051058361,0.0114949136545302,0.0553218581205229,0.047224776697323,0.000639366673898592,0.0037476395868792,-0.00125721902832588,0.03914,0.0039,30184,133,"recalibration attempted with all available data, but possibly not good enough: Check calibration error variable to varify this",32.0278075329567,not extracted,0,0,0,91.9605711936951,,,,,0,0,4363,,,,
Lup038 back post.cwa,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0.02768, ,70925,239,recalibration not done because not enough points on all sides of the sphere,27.6137896659708,not extracted,0, , , , , , , , , , , , , , 
Lup039 back post.cwa,FALSE,FALSE,FALSE,0.996222105662347,0.990220374159992,1.02195822404254,0.0256939798934371,0.0125652789386504,0.00345853738982604,0,0,0,0.01992,0.00411,45235,169,"recalibration done, but temperature values not used",27.1909824634656,not extracted,0, , , , , , , , , , , , , , 
Lup042 back post.cwa,FALSE,FALSE,TRUE,1.00318001097708,1.01454435208113,1.02472176575357,-4.0019867447506e-05,0.0162600358059105,-0.0157555048472477,-8.98079628135316e-05,0.00193222885132945,0.000713706669125848,0.03645,0.00223,47708,173,"recalibration done, no problems detected",26.4310964509395,not extracted,0,0.0167213956514994,0,0.0355907162030538,,,,,1,0,2,,,,
Lup043 back post.cwa,FALSE,FALSE,TRUE,0.983205870497507,1.02223448048264,1.01630381277312,-0.00592847896050264,0.032451425986587,0.0017112417101097,0.00231343753538957,0.00381802877647201,-0.00455060473607703,0.03129,0.00302,45142,172,"recalibration done, no problems detected",29.2244461538462,not extracted,0, , , , , , , , , , , , , , 
Lup044 back post.cwa,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0.04973, ,53052,213,recalibration not done because not enough points on all sides of the sphere,29.2689029377203,not extracted,0,0,0,0.716751801967621,,,,,0,0,34,,,,
Lup045 back post.cwa,FALSE,FALSE,TRUE,0.992224582430996,1.00461120359052,1.01261774979137,0.00326793920181049,0.0226465114752025,0.0290698603581624,0.000458445423047058,0.00263158042588015,-0.00191934005777393,0.02513,0.00287,40938,168.994444444444,"recalibration done, no problems detected",24.0200034446764,not extracted,0,0,0,311.182625007629,,,,,0,0,14753,,,,
Lup046 back post.cwa,FALSE,FALSE,TRUE,0.96697996528798,1.00797064911106,1.02115180204972,0.0136887915307567,0.0166276154884894,0.00146978891525997,0.00080261500591169,0.00237520160999384,0.00117846883720279,0.02533,0.00457,33190,127,"recalibration attempted with all available data, but possibly not good enough: Check calibration error variable to varify this",31.791717519685,not extracted,0, , , , , , , , , , , , , , 
Lup047 back post.cwa,FALSE,FALSE,FALSE,1.05248720034593,1.03977404516863,1.04178039764095,0.0141226550534255,0.0205319755781922,0.0112380632245454,0,0,0,0.04714,0.00753,55749,173,"recalibration done, but temperature values not used",21.9510217118998,not extracted,0, , , , , , , , , , , , , , 
Lup049 back post.cwa,FALSE,FALSE,TRUE,0.947685089102747,1.00084335428224,1.03376794894109,0.00666642924969421,0.00432384875503223,0.000416289658567119,-0.00279455563355559,0.00325335529252443,0.00303632138008142,0.01985,0.00411,42889,169,"recalibration done, no problems detected",28.1089636743215,not extracted,0, , , , , , , , , , , , , , 
Lup051 back post.cwa,FALSE,FALSE,TRUE,0.992481993877811,0.998637905997878,1.01901473046858,0.00434525805466167,0.0265164169015843,0.0372383760457037,-0.000411634664091348,0.00164690516183841,-0.00237636758951049,0.0336,0.00424,43821,169,"recalibration done, no problems detected",28.457262125,not extracted,0,0.097860312461853,0,942.781509196758,,,,,7,0,44627,,,,
Lup052 back post.cwa,FALSE,FALSE,TRUE,0.984704030755067,1.01057520807259,1.04903569031117,-0.00391775321967015,0.0268087437166539,-0.00912963964950912,-0.000479759440852968,-0.000899740121353286,0.000206494803096758,0.0355,0.00506,42733,172,"recalibration done, no problems detected",28.5582495824635,not extracted,0, , , , , , , , , , , , , , 
Lup054 back post.cwa,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,0.01058, ,8638,39.9972222222222,recalibration not done because not enough points on all sides of the sphere,33.9106461538462,not extracted,0, , , , , , , , , , , , , , 
Lup055 back post.cwa,FALSE,FALSE,TRUE,1.01377119407411,0.985934578506066,1.01210803812703,-0.00717700236116548,-0.0112194106758785,0.0307588936483736,0.000593770834059037,0.000595631794716814,-0.00281997608288119,0.0337,0.00397,41717,172,"recalibration done, no problems detected",26.3171194154489,not extracted,0, , , , , , , , , , , , , , 
