filename,file.corrupt,file.too.short,use.temperature,scale.x,scale.y,scale.z,offset.x,offset.y,offset.z,temperature.offset.x,temperature.offset.y,temperature.offset.z,cal.error.start,cal.error.end,n.10sec.windows,n.hours.considered,QCmessage,mean.temp,device.serial.number,NFilePagesSkipped,filehealth_totimp_min,filehealth_checksumfail_min,filehealth_niblockid_min,filehealth_fbias0510_min,filehealth_fbias1020_min,filehealth_fbias2030_min,filehealth_fbias30_min,filehealth_totimp_N,filehealth_checksumfail_N,filehealth_niblockid_N,filehealth_fbias0510_N,filehealth_fbias1020_N,filehealth_fbias2030_N,filehealth_fbias30_N
Lup017 thigh pre.cwa,FALSE,FALSE,TRUE,1.04051096989241,1.01922231712703,1.0366400970543,0.00955583957214709,0.00592742265425972,0.0277574934658158,-0.000431091064868973,0.000444031716903197,-0.00173979040142911,0.02731,0.00606,42430,170.997222222222,"recalibration done, no problems detected",24.5356795407098,not extracted,0,0,0,628.135835214456,,,,,0,0,32862,,,,
Lup018 thigh pre.cwa,FALSE,FALSE,TRUE,0.995103891553089,0.991510768349813,1.01750011524875,-0.00109140510701899,0.00767512193437219,0.0436089415408487,-7.50926169286218e-05,0.000799544109522933,-0.00114365322201647,0.03153,0.00272,41799,169,"recalibration done, no problems detected",22.6809106471816,not extracted,0,0,0,644.149018792311,,,,,0,0,30517,,,,
Lup019 pre thigh.cwa,FALSE,FALSE,FALSE,1.01914473901062,1.00244265266189,1.02841158196902,0.010203154535,0.0324359184909988,0.0299436517039501,0,0,0,0.03925,0.00795,38333,170,"recalibration done, but temperature values not used",25.8416081675393,not extracted,0, , , , , , , , , , , , , , 
Lup020 thigh pre .cwa,FALSE,FALSE,TRUE,1.0153430938718,1.00747033775677,1.00268969704895,0.00638204442390808,0.0023754689826004,0.0147180002959503,-0.000302811663390866,0.000810443875584629,-0.00057236657597236,0.01292,0.00497,39787,170,"recalibration done, no problems detected",30.1507365344468,not extracted,0,0,0,0.230959685643514,,,,,0,0,13,,,,
Lup021 thigh pre.cwa,FALSE,FALSE,FALSE,1,1,1,0,0,0,0,0,0,0.02035, ,61716,238.997222222222,recalibration not done because not enough points on all sides of the sphere,28.1725486430063,not extracted,0,0,0,0.0967508991559347,,,,,0,0,5,,,,
Lup022 thigh pre.cwa,FALSE,FALSE,FALSE,1.0121924424458,1.0133932244789,1.00350496117925,0.00331014293412149,0.00967051839643438,0.0195043358241427,0,0,0,0.01826,0.00752,42175,170,"recalibration done, but temperature values not used",29.291202970297,not extracted,0,0,0,228.216722635428,,,,,0,0,11911,,,,
Lup023 thigh pre.cwa,FALSE,FALSE,TRUE,1.02125913498007,1.01861537494497,1.0186412724208,0.00700179846294744,0.0440988255934915,-0.037905228785614,-0.00941818510795541,0.00526031004195649,-0.00388205630629025,0.05225,0.00488,20562,94,"recalibration attempted with all available data, but possibly not good enough: Check calibration error variable to varify this",32.3980222811671,not extracted,0, , , , , , , , , , , , , , 
Lup024 thigh pre.cwa,FALSE,FALSE,TRUE,0.953319770660528,1.0040432360966,1.01301645046247,-0.000112450875142423,0.00405101794283728,0.0262146366120627,0.000144153550657765,-0.00249445332340399,-0.00286155503495219,0.01865,0.0042,19217,70,"recalibration attempted with all available data, but possibly not good enough: Check calibration error variable to varify this",33.1312128571429,not extracted,0, , , , , , , , , , , , , , 
Lup025 thigh pre.cwa,FALSE,FALSE,TRUE,0.997643878881871,0.987927331201517,1.00210727198762,-0.0133779776484187,0.0374050014691627,-0.0103533624632494,-0.000221894370895884,0.00761688504084106,-0.00228951398251152,0.01848,0.00403,27081,115,"recalibration attempted with all available data, but possibly not good enough: Check calibration error variable to varify this",32.2975720173536,not extracted,0, , , , , , , , , , , , , , 
Lup026 thigh pre.cwa,FALSE,FALSE,TRUE,0.975292576563456,0.989122854799311,1.02100067401203,-0.0149546554155908,0.0384455499860603,-0.002368337241207,-0.00127177681052588,0.00534272503539087,-0.00256474642072546,0.02571,0.0036,21832,80,"recalibration attempted with all available data, but possibly not good enough: Check calibration error variable to varify this",33.2219453125,not extracted,0, , , , , , , , , , , , , , 
Lup027 thigh pre.cwa,FALSE,FALSE,TRUE,1.02812479298808,1.00725374918383,1.03989356444184,0.0055084257078565,0.00525221004291745,0.0148454180798889,0.000157360218931394,0.000332101260789114,-0.000581217100400937,0.03489,0.00655,49171,171,"recalibration done, no problems detected",28.4908970772443,not extracted,0, , , , , , , , , , , , , , 
Lup028 pre thigh.cwa,FALSE,FALSE,TRUE,0.995203337771495,0.988452923453369,1.01885217894113,-0.00948731198466382,0.0370769626497423,-0.00285107823643088,0.000953836247700256,0.00444323731899553,-0.00112017179099963,0.02995,0.00352,12724,67,"recalibration attempted with all available data, but possibly not good enough: Check calibration error variable to varify this",30.6409475655431,not extracted,0, , , , , , , , , , , , , , 
Lup029 thigh pre.cwa,FALSE,FALSE,FALSE,0.977762907173039,0.998599627425357,1.03693507393753,-0.000738384214535603,0.0275167042244768,0.00475565007557382,0,0,0,0.03006,0.00587,55300,171,"recalibration done, but temperature values not used",24.3975203778677,not extracted,0, , , , , , , , , , , , , , 
Lup030 tight pre.cwa,FALSE,FALSE,TRUE,0.989504852928868,1.00889018100497,1.02491264451534,0.00335414188082774,-0.000905250477241813,0.0394994584936507,0.000483393566842988,0.000258020512667977,-0.000726693027898261,0.02052,0.0036,45597,172.994444444444,"recalibration done, no problems detected",27.2292207724426,not extracted,0,0,0,0.0424073298772176,,,,,0,0,2,,,,
Lup031 thigh pre.cwa,FALSE,FALSE,TRUE,1.00933855641073,0.978575670941002,1.02193889864174,0.000947071335197078,0.0100099652792051,0.0210034317832073,-0.000298227332461587,0.000803151716634915,-0.00213728354359114,0.03542,0.0038,51366,169,"recalibration done, no problems detected",25.8624647181628,not extracted,0,0,0,167.064391561349,,,,,0,0,7926,,,,
Lup032 thigh pre.cwa,FALSE,FALSE,TRUE,1.01110983755503,1.01931270093933,1.0361349281107,0.00144568305541172,0.00778069805809191,0.0124797440720919,0.000163689737181859,0.000961329266599267,-0.00191773507136692,0.01778,0.00485,41290,171,"recalibration done, no problems detected",29.530132045929,not extracted,0, , , , , , , , , , , , , , 
